# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy, buffer_size
8,0.01,0,4,32,2048,167,1.078E+04,0.8868,0,17.17,171,0.5675,0.008868,3.604E-05,2.029E-07,3.583E-05,2
8,0.01,0,4,32,2048,190,1.218E+04,1.001,0,20.51,213,0.6409,0.01001,5.966E-05,2.786E-07,5.939E-05,4
8,0.01,0,4,32,2048,208,1.323E+04,1.088,0,21.42,245,0.6965,0.01088,6.048E-05,3.212E-07,6.015E-05,8
8,0.01,0,4,32,2048,187,1.213E+04,0.9976,0,23.28,399,0.6385,0.009976,0.0001133,3.952E-07,0.0001129,16
8,0.01,0,4,32,2048,197,1.267E+04,1.042,0,17.99,184,0.6667,0.01042,0.000281,7.142E-07,0.0002803,32
8,0.01,0,4,32,2048,185,1.185E+04,0.9748,0,21.01,205,0.6239,0.009748,0.0004477,9.863E-07,0.0004467,64
8,0.02,0,4,32,2048,383,2.456E+04,1.01,0,23.8,345,1.293,0.0202,3.628E-05,4.507E-07,3.583E-05,2
8,0.02,0,4,32,2048,368,2.344E+04,0.964,0,22.09,216,1.234,0.01928,5.99E-05,5.127E-07,5.939E-05,4
8,0.02,0,4,32,2048,362,2.32E+04,0.9537,0,21.29,229,1.221,0.01907,6.076E-05,6.056E-07,6.015E-05,8
8,0.02,0,4,32,2048,387,2.482E+04,1.02,0,23.96,243,1.306,0.02041,0.0001137,8.425E-07,0.0001129,16
8,0.02,0,4,32,2048,371,2.382E+04,0.9795,0,22.66,259,1.254,0.01959,0.0002817,1.422E-06,0.0002803,32
8,0.02,0,4,32,2048,385,2.476E+04,1.018,0,23.02,256,1.303,0.02037,0.0004487,1.973E-06,0.0004467,64
8,0.03,0,4,32,2048,548,3.511E+04,0.9624,0,32.59,513,1.848,0.02887,3.651E-05,6.764E-07,3.583E-05,2
8,0.03,0,4,32,2048,597,3.829E+04,1.05,0,33.12,571,2.015,0.03149,6.021E-05,8.215E-07,5.939E-05,4
8,0.03,0,4,32,2048,583,3.720E+04,1.02,0,29.41,418,1.958,0.0306,6.109E-05,9.363E-07,6.015E-05,8
8,0.03,0,4,32,2048,613,3.932E+04,1.078,0,29.7,332,2.07,0.03234,0.0001142,1.344E-06,0.0001129,16
8,0.03,0,4,32,2048,571,3.66E+04,1.003,0,26.1,414,1.927,0.0301,0.0002824,2.088E-06,0.0002803,32
8,0.03,0,4,32,2048,598,3.801E+04,1.042,0,27.67,252,2,0.03125,0.0004498,3.049E-06,0.0004467,64
8,0.04,0,4,32,2048,742,4.755E+04,0.9776,0,51.71,1117,2.503,0.0391,3.673E-05,8.912E-07,3.583E-05,2
8,0.04,0,4,32,2048,824,5.232E+04,1.076,0,51.75,940,2.754,0.04303,6.053E-05,1.145E-06,5.939E-05,4
8,0.04,0,4,32,2048,788,5.015E+04,1.031,0,39.41,488,2.639,0.04124,6.141E-05,1.256E-06,6.015E-05,8
8,0.04,0,4,32,2048,723,4.624E+04,0.9507,0,33.65,347,2.434,0.03803,0.0001144,1.554E-06,0.0001129,16
8,0.04,0,4,32,2048,759,4.86E+04,0.9992,0,34.39,369,2.558,0.03997,0.0002831,2.801E-06,0.0002803,32
8,0.04,0,4,32,2048,746,4.771E+04,0.9808,0,36,439,2.511,0.03923,0.0004506,3.862E-06,0.0004467,64
8,0.05,0,4,32,2048,982,6.282E+04,1.033,0,79.06,1234,3.306,0.05166,3.702E-05,1.186E-06,3.583E-05,2
8,0.05,0,4,32,2048,951,6.073E+04,0.9989,0,66.54,947,3.196,0.04994,6.069E-05,1.3E-06,5.939E-05,4
8,0.05,0,4,32,2048,962,6.164E+04,1.014,0,58.48,888,3.244,0.05069,6.171E-05,1.559E-06,6.015E-05,8
8,0.05,0,4,32,2048,988,6.344E+04,1.043,0,52.24,689,3.339,0.05217,0.000115,2.084E-06,0.0001129,16
8,0.05,0,4,32,2048,956,6.126E+04,1.008,0,48.09,581,3.224,0.05038,0.0002838,3.447E-06,0.0002803,32
8,0.05,0,4,32,2048,945,6.047E+04,0.9946,0,42.28,875,3.183,0.04973,0.0004515,4.805E-06,0.0004467,64
8,0.06,0,4,32,2048,1117,7.152E+04,0.9802,0,113.7,1244,3.764,0.05881,3.723E-05,1.4E-06,3.583E-05,2
8,0.06,0,4,32,2048,1163,7.439E+04,1.02,0,131,1806,3.915,0.06118,6.097E-05,1.581E-06,5.939E-05,4
8,0.06,0,4,32,2048,1144,7.312E+04,1.002,0,89.24,1250,3.849,0.06013,6.203E-05,1.881E-06,6.015E-05,8
8,0.06,0,4,32,2048,1125,7.193E+04,0.9859,0,63.05,820,3.786,0.05915,0.0001153,2.372E-06,0.0001129,16
8,0.06,0,4,32,2048,1074,6.856E+04,0.9397,0,58.18,735,3.609,0.05638,0.0002842,3.922E-06,0.0002803,32
8,0.06,0,4,32,2048,1177,7.544E+04,1.034,0,65.95,954,3.971,0.06204,0.0004527,5.985E-06,0.0004467,64
8,0.07,0,4,32,2048,1304,8.342E+04,0.98,0,192.4,1946,4.39,0.0686,3.746E-05,1.629E-06,3.583E-05,2
8,0.07,0,4,32,2048,1350,8.588E+04,1.009,0,155.7,1423,4.52,0.07063,6.122E-05,1.835E-06,5.939E-05,4
8,0.07,0,4,32,2048,1372,8.77E+04,1.03,0,132.3,1548,4.616,0.07212,6.234E-05,2.182E-06,6.015E-05,8
8,0.07,0,4,32,2048,1275,8.197E+04,0.963,0,80.74,1130,4.314,0.06741,0.0001156,2.721E-06,0.0001129,16
8,0.07,0,4,32,2048,1326,8.479E+04,0.9961,0,83.52,1183,4.463,0.06973,0.0002851,4.778E-06,0.0002803,32
8,0.07,0,4,32,2048,1322,8.465E+04,0.9945,0,86.6,1457,4.455,0.06962,0.0004535,6.816E-06,0.0004467,64
8,0.08,0,4,32,2048,1459,9.340E+04,0.9602,0,436.5,3736,4.916,0.07681,3.763E-05,1.794E-06,3.583E-05,2
8,0.08,0,4,32,2048,1484,9.492E+04,0.9757,0,509.1,7499,4.996,0.07806,6.147E-05,2.083E-06,5.939E-05,4
8,0.08,0,4,32,2048,1558,1.001E+05,1.029,0,257.3,2986,5.27,0.08234,6.272E-05,2.567E-06,6.015E-05,8
8,0.08,0,4,32,2048,1565,9.981E+04,1.026,0,134.3,2690,5.253,0.08208,0.0001163,3.375E-06,0.0001129,16
8,0.08,0,4,32,2048,1569,1.006E+05,1.034,0,148.9,1940,5.293,0.0827,0.0002861,5.79E-06,0.0002803,32
8,0.08,0,4,32,2048,1499,9.611E+04,0.988,0,112.7,1393,5.058,0.07904,0.0004545,7.795E-06,0.0004467,64
8,0.09,0,4,32,2048,1592,1.014E+05,0.9265,0,543.1,4234,5.337,0.08339,3.781E-05,1.98E-06,3.583E-05,2
8,0.09,0,4,32,2048,1606,1.024E+05,0.9355,0,618.4,5953,5.388,0.08419,6.162E-05,2.235E-06,5.939E-05,4
8,0.09,0,4,32,2048,1689,1.077E+05,0.9845,0,650.3,7135,5.671,0.08861,6.292E-05,2.762E-06,6.015E-05,8
8,0.09,0,4,32,2048,1713,1.097E+05,1.002,0,230.8,3940,5.772,0.09019,0.0001166,3.698E-06,0.0001129,16
8,0.09,0,4,32,2048,1696,1.085E+05,0.991,0,182,2616,5.708,0.08919,0.0002865,6.186E-06,0.0002803,32
8,0.09,0,4,32,2048,1672,1.071E+05,0.9782,0,191.6,3503,5.635,0.08804,0.0004554,8.64E-06,0.0004467,64
8,0.1,0,4,32,2048,1681,1.073E+05,0.8825,0,1919,1.106E+04,5.648,0.08825,3.792E-05,2.082E-06,3.583E-05,2
8,0.1,0,4,32,2048,1715,1.097E+05,0.9023,0,741.3,5601,5.775,0.09023,6.179E-05,2.405E-06,5.939E-05,4
8,0.1,0,4,32,2048,1794,1.147E+05,0.9433,0,724.5,7728,6.037,0.09433,6.31E-05,2.943E-06,6.015E-05,8
8,0.1,0,4,32,2048,1796,1.146E+05,0.9423,0,303.8,5559,6.031,0.09423,0.0001167,3.823E-06,0.0001129,16
8,0.1,0,4,32,2048,1865,1.194E+05,0.9817,0,423.5,6315,6.283,0.09817,0.0002872,6.856E-06,0.0002803,32
8,0.1,0,4,32,2048,1801,1.152E+05,0.9475,0,167.9,2375,6.064,0.09475,0.000456,9.294E-06,0.0004467,64
8,0.11,0,4,32,2048,1683,1.074E+05,0.8032,0,1805,9186,5.655,0.08836,3.794E-05,2.108E-06,3.583E-05,2
8,0.11,0,4,32,2048,1679,1.071E+05,0.8009,0,1751,1.017E+04,5.638,0.0881,6.177E-05,2.381E-06,5.939E-05,4
8,0.11,0,4,32,2048,1766,1.129E+05,0.8442,0,1294,8765,5.943,0.09287,6.308E-05,2.926E-06,6.015E-05,8
8,0.11,0,4,32,2048,1911,1.219E+05,0.911,0,797.3,7518,6.414,0.1002,0.0001171,4.168E-06,0.0001129,16
8,0.11,0,4,32,2048,2023,1.292E+05,0.9663,0,599.1,6060,6.803,0.1063,0.0002878,7.462E-06,0.0002803,32
8,0.11,0,4,32,2048,2080,1.326E+05,0.991,0,319.7,3814,6.977,0.109,0.0004572,1.051E-05,0.0004467,64
8,0.12,0,4,32,2048,1741,1.113E+05,0.7625,0,2252,9409,5.856,0.0915,3.802E-05,2.186E-06,3.583E-05,2
8,0.12,0,4,32,2048,1772,1.131E+05,0.7748,0,2126,1.262E+04,5.951,0.09298,6.186E-05,2.476E-06,5.939E-05,4
8,0.12,0,4,32,2048,1796,1.148E+05,0.7865,0,2238,1.104E+04,6.04,0.09437,6.315E-05,2.995E-06,6.015E-05,8
8,0.12,0,4,32,2048,1912,1.218E+05,0.8344,0,1779,1.144E+04,6.408,0.1001,0.0001171,4.183E-06,0.0001129,16
8,0.12,0,4,32,2048,2023,1.293E+05,0.8858,0,669.3,7665,6.803,0.1063,0.0002879,7.583E-06,0.0002803,32
8,0.12,0,4,32,2048,2254,1.435E+05,0.9837,0,566.3,5895,7.554,0.118,0.0004585,1.179E-05,0.0004467,64
8,0.13,0,4,32,2048,1706,1.089E+05,0.6889,0,3150,1.292E+04,5.732,0.08956,3.797E-05,2.137E-06,3.583E-05,2
8,0.13,0,4,32,2048,1734,1.109E+05,0.7014,0,2896,1.271E+04,5.836,0.09118,6.181E-05,2.424E-06,5.939E-05,4
8,0.13,0,4,32,2048,1935,1.235E+05,0.781,0,1990,1.051E+04,6.498,0.1015,6.339E-05,3.232E-06,6.015E-05,8
8,0.13,0,4,32,2048,1942,1.244E+05,0.7872,0,1778,1.014E+04,6.549,0.1023,0.0001172,4.317E-06,0.0001129,16
8,0.13,0,4,32,2048,2181,1.394E+05,0.8817,0,1349,1.332E+04,7.336,0.1146,0.0002884,8.114E-06,0.0002803,32
8,0.13,0,4,32,2048,2220,1.422E+05,0.8995,0,956.2,1.22E+04,7.484,0.1169,0.0004585,1.174E-05,0.0004467,64
8,0.14,0,4,32,2048,1701,1.088E+05,0.6393,0,3249,1.539E+04,5.728,0.0895,3.798E-05,2.147E-06,3.583E-05,2
8,0.14,0,4,32,2048,1830,1.169E+05,0.6869,0,3284,1.422E+04,6.155,0.09617,6.19E-05,2.514E-06,5.939E-05,4
8,0.14,0,4,32,2048,1810,1.153E+05,0.6774,0,3320,1.32E+04,6.069,0.09483,6.311E-05,2.959E-06,6.015E-05,8
8,0.14,0,4,32,2048,2012,1.287E+05,0.7561,0,2062,1.306E+04,6.775,0.1059,0.0001173,4.394E-06,0.0001129,16
8,0.14,0,4,32,2048,2098,1.344E+05,0.7893,0,1898,1.301E+04,7.073,0.1105,0.0002882,7.873E-06,0.0002803,32
8,0.14,0,4,32,2048,2318,1.478E+05,0.8684,0,1454,1.364E+04,7.781,0.1216,0.000459,1.232E-05,0.0004467,64
8,0.15,0,4,32,2048,1800,1.15E+05,0.6303,0,3433,1.470E+04,6.051,0.09455,3.811E-05,2.273E-06,3.583E-05,2
8,0.15,0,4,32,2048,1784,1.14E+05,0.6248,0,3356,1.406E+04,5.998,0.09373,6.187E-05,2.482E-06,5.939E-05,4
8,0.15,0,4,32,2048,1892,1.208E+05,0.6622,0,3272,1.211E+04,6.358,0.09934,6.333E-05,3.179E-06,6.015E-05,8
8,0.15,0,4,32,2048,1906,1.223E+05,0.6705,0,2465,1.539E+04,6.437,0.1006,0.0001173,4.39E-06,0.0001129,16
8,0.15,0,4,32,2048,2157,1.377E+05,0.7552,0,1986,1.301E+04,7.25,0.1133,0.0002885,8.162E-06,0.0002803,32
8,0.15,0,4,32,2048,2343,1.494E+05,0.8191,0,1531,1.218E+04,7.863,0.1229,0.0004592,1.245E-05,0.0004467,64
8,0.16,0,4,32,2048,1796,1.149E+05,0.5904,0,4037,1.274E+04,6.046,0.09447,3.807E-05,2.234E-06,3.583E-05,2
8,0.16,0,4,32,2048,1783,1.142E+05,0.5868,0,3895,1.544E+04,6.009,0.09389,6.187E-05,2.487E-06,5.939E-05,4
8,0.16,0,4,32,2048,1894,1.21E+05,0.6222,0,3505,1.232E+04,6.371,0.09955,6.327E-05,3.118E-06,6.015E-05,8
8,0.16,0,4,32,2048,1972,1.257E+05,0.6462,0,3349,1.356E+04,6.617,0.1034,0.0001172,4.304E-06,0.0001129,16
8,0.16,0,4,32,2048,2097,1.342E+05,0.6898,0,2619,1.426E+04,7.063,0.1104,0.0002883,8.027E-06,0.0002803,32
8,0.16,0,4,32,2048,2266,1.446E+05,0.743,0,2072,1.511E+04,7.609,0.1189,0.0004589,1.215E-05,0.0004467,64
8,0.17,0,4,32,2048,1718,1.1E+05,0.532,0,3999,1.35E+04,5.789,0.09045,3.799E-05,2.16E-06,3.583E-05,2
8,0.17,0,4,32,2048,1860,1.187E+05,0.5742,0,3468,1.451E+04,6.248,0.09762,6.195E-05,2.566E-06,5.939E-05,4
8,0.17,0,4,32,2048,1876,1.199E+05,0.58,0,3862,1.411E+04,6.31,0.0986,6.332E-05,3.169E-06,6.015E-05,8
8,0.17,0,4,32,2048,1957,1.254E+05,0.6065,0,3460,1.58E+04,6.599,0.1031,0.0001173,4.387E-06,0.0001129,16
8,0.17,0,4,32,2048,2096,1.335E+05,0.6457,0,3018,1.543E+04,7.026,0.1098,0.0002883,8.014E-06,0.0002803,32
8,0.17,0,4,32,2048,2292,1.469E+05,0.7105,0,2340,1.268E+04,7.73,0.1208,0.0004593,1.259E-05,0.0004467,64
8,0.18,0,4,32,2048,1765,1.13E+05,0.5161,0,4682,1.552E+04,5.945,0.09289,3.802E-05,2.187E-06,3.583E-05,2
8,0.18,0,4,32,2048,1861,1.191E+05,0.5441,0,4327,1.403E+04,6.268,0.09794,6.201E-05,2.622E-06,5.939E-05,4
8,0.18,0,4,32,2048,1908,1.22E+05,0.5574,0,4235,1.436E+04,6.421,0.1003,6.336E-05,3.209E-06,6.015E-05,8
8,0.18,0,4,32,2048,2027,1.293E+05,0.5909,0,3971,1.46E+04,6.807,0.1064,0.0001174,4.552E-06,0.0001129,16
8,0.18,0,4,32,2048,2161,1.385E+05,0.6327,0,3282,1.447E+04,7.288,0.1139,0.0002886,8.258E-06,0.0002803,32
8,0.18,0,4,32,2048,2254,1.436E+05,0.6559,0,3115,1.548E+04,7.556,0.1181,0.0004589,1.216E-05,0.0004467,64
8,0.19,0,4,32,2048,1771,1.133E+05,0.4902,0,5263,1.544E+04,5.961,0.09314,3.806E-05,2.23E-06,3.583E-05,2
8,0.19,0,4,32,2048,1867,1.196E+05,0.5175,0,4652,1.38E+04,6.292,0.09832,6.203E-05,2.641E-06,5.939E-05,4
8,0.19,0,4,32,2048,1893,1.216E+05,0.5263,0,4095,1.369E+04,6.4,0.1,6.331E-05,3.157E-06,6.015E-05,8
8,0.19,0,4,32,2048,2010,1.281E+05,0.5543,0,3686,1.571E+04,6.741,0.1053,0.0001173,4.45E-06,0.0001129,16
8,0.19,0,4,32,2048,2070,1.329E+05,0.5753,0,3295,1.478E+04,6.996,0.1093,0.0002882,7.86E-06,0.0002803,32
8,0.19,0,4,32,2048,2351,1.502E+05,0.6501,0,2724,1.558E+04,7.905,0.1235,0.0004596,1.289E-05,0.0004467,64
8,0.2,0,4,32,2048,1784,1.14E+05,0.4687,0,5335,1.657E+04,5.999,0.09373,3.809E-05,2.253E-06,3.583E-05,2
8,0.2,0,4,32,2048,1813,1.161E+05,0.4774,0,4847,1.638E+04,6.111,0.09549,6.192E-05,2.535E-06,5.939E-05,4
8,0.2,0,4,32,2048,1888,1.202E+05,0.4943,0,4812,1.518E+04,6.327,0.09886,6.329E-05,3.131E-06,6.015E-05,8
8,0.2,0,4,32,2048,1954,1.254E+05,0.5157,0,4232,1.733E+04,6.601,0.1031,0.0001172,4.34E-06,0.0001129,16
8,0.2,0,4,32,2048,2085,1.339E+05,0.5506,0,3818,1.422E+04,7.048,0.1101,0.0002884,8.043E-06,0.0002803,32
8,0.2,0,4,32,2048,2255,1.445E+05,0.5943,0,3201,1.772E+04,7.608,0.1189,0.0004593,1.254E-05,0.0004467,64
8,0.21,0,4,32,2048,1804,1.154E+05,0.4518,0,5193,1.644E+04,6.072,0.09488,3.808E-05,2.246E-06,3.583E-05,2
8,0.21,0,4,32,2048,1801,1.153E+05,0.4517,0,5652,1.522E+04,6.07,0.09485,6.192E-05,2.539E-06,5.939E-05,4
8,0.21,0,4,32,2048,1888,1.207E+05,0.4726,0,5428,1.571E+04,6.351,0.09924,6.331E-05,3.16E-06,6.015E-05,8
8,0.21,0,4,32,2048,1929,1.237E+05,0.4843,0,4876,1.632E+04,6.509,0.1017,0.0001173,4.378E-06,0.0001129,16
8,0.21,0,4,32,2048,2110,1.353E+05,0.5299,0,4033,1.493E+04,7.122,0.1113,0.0002884,8.069E-06,0.0002803,32
8,0.21,0,4,32,2048,2194,1.403E+05,0.5493,0,3359,1.714E+04,7.383,0.1154,0.0004584,1.169E-05,0.0004467,64
8,0.22,0,4,32,2048,1714,1.098E+05,0.4106,0,5615,1.522E+04,5.781,0.09032,3.797E-05,2.137E-06,3.583E-05,2
8,0.22,0,4,32,2048,1877,1.2E+05,0.4484,0,5467,1.504E+04,6.314,0.09866,6.203E-05,2.642E-06,5.939E-05,4
8,0.22,0,4,32,2048,1944,1.243E+05,0.4646,0,4804,1.425E+04,6.541,0.1022,6.342E-05,3.269E-06,6.015E-05,8
8,0.22,0,4,32,2048,2011,1.288E+05,0.4813,0,5119,1.538E+04,6.776,0.1059,0.0001173,4.405E-06,0.0001129,16
8,0.22,0,4,32,2048,2167,1.389E+05,0.5191,0,4262,1.623E+04,7.308,0.1142,0.0002887,8.426E-06,0.0002803,32
8,0.22,0,4,32,2048,2262,1.451E+05,0.5425,0,3907,1.698E+04,7.639,0.1194,0.0004594,1.269E-05,0.0004467,64
8,0.23,0,4,32,2048,1762,1.129E+05,0.4038,0,5925,1.544E+04,5.943,0.09287,3.809E-05,2.254E-06,3.583E-05,2
8,0.23,0,4,32,2048,1795,1.146E+05,0.4099,0,6056,1.583E+04,6.034,0.09428,6.197E-05,2.581E-06,5.939E-05,4
8,0.23,0,4,32,2048,1918,1.229E+05,0.4395,0,5428,1.579E+04,6.47,0.1011,6.336E-05,3.208E-06,6.015E-05,8
8,0.23,0,4,32,2048,1953,1.254E+05,0.4482,0,5013,1.53E+04,6.598,0.1031,0.0001172,4.348E-06,0.0001129,16
8,0.23,0,4,32,2048,2120,1.361E+05,0.4866,0,4843,1.608E+04,7.162,0.1119,0.0002885,8.142E-06,0.0002803,32
8,0.23,0,4,32,2048,2344,1.503E+05,0.5373,0,3774,1.661E+04,7.91,0.1236,0.0004598,1.305E-05,0.0004467,64
8,0.24,0,4,32,2048,1771,1.135E+05,0.389,0,6394,1.664E+04,5.975,0.09336,3.802E-05,2.185E-06,3.583E-05,2
8,0.24,0,4,32,2048,1821,1.166E+05,0.3994,0,5927,1.626E+04,6.135,0.09586,6.198E-05,2.596E-06,5.939E-05,4
8,0.24,0,4,32,2048,1884,1.202E+05,0.4119,0,5862,1.776E+04,6.327,0.09886,6.323E-05,3.078E-06,6.015E-05,8
8,0.24,0,4,32,2048,2006,1.287E+05,0.4409,0,5388,1.637E+04,6.773,0.1058,0.0001173,4.409E-06,0.0001129,16
8,0.24,0,4,32,2048,2259,1.449E+05,0.4965,0,4207,1.476E+04,7.626,0.1192,0.000289,8.676E-06,0.0002803,32
8,0.24,0,4,32,2048,2346,1.506E+05,0.516,0,3911,1.545E+04,7.926,0.1238,0.0004598,1.312E-05,0.0004467,64
8,0.25,0,4,32,2048,1709,1.093E+05,0.3594,0,6234,1.682E+04,5.75,0.08984,3.797E-05,2.136E-06,3.583E-05,2
8,0.25,0,4,32,2048,1778,1.142E+05,0.3758,0,5832,1.666E+04,6.013,0.09395,6.189E-05,2.508E-06,5.939E-05,4
8,0.25,0,4,32,2048,1929,1.233E+05,0.4057,0,5735,1.6E+04,6.491,0.1014,6.344E-05,3.291E-06,6.015E-05,8
8,0.25,0,4,32,2048,2011,1.289E+05,0.4239,0,5542,1.538E+04,6.783,0.106,0.0001173,4.442E-06,0.0001129,16
